Date/Time,Cooling Load(kWh),Site Outdoor Air Drybulb Temperature [C](Hourly),Site Outdoor Air Wetbulb Temperature [C](Hourly),Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Site Wind Speed [m/s](Hourly),Chiller Electricity Energy(kWh)
 09/03  10:00:00,597.1604319,29.1,26.0079532,0.020134824,2.05,412.0253767
 09/03  11:00:00,605.7348986,30.35833333,26.2305745,0.019986265,2.708333333,383.5514792
 09/03  12:00:00,611.7582717,30.08333333,25.76429585,0.019298077,3.175,367.9375622
 09/03  13:00:00,559.7892592,28.625,24.83643714,0.018356878,3.533333333,334.6693661
 09/03  14:00:00,598.6296933,27.18333333,23.95528843,0.017540699,3.875,331.4743542
 09/03  15:00:00,595.5395592,27.24166667,23.93522476,0.017494317,3.416666667,329.6366942
 09/03  16:00:00,612.7022686,28.4,24.45962834,0.017853979,2.416666667,339.3408031
 09/03  17:00:00,614.0650675,29.54166667,24.95663816,0.018197595,1.416666667,346.9673436
 09/03  18:00:00,510.3108203,29.70833333,25.28406072,0.018681864,1.175,322.7364019
 09/03  19:00:00,376.1943703,29.15,25.50163283,0.019274775,1.533333333,281.1230742
 09/03  20:00:00,364.1930083,28.60833333,25.67365393,0.019789846,1.875,280.4522956
 09/03  21:00:00,270.5345751,28.225,25.64734806,0.019908216,1.883333333,254.8176563
 09/03  22:00:00,0,27.98333333,25.56435973,0.019869439,1.741666667,0
 09/03  23:00:00,0,27.725,25.46312333,0.019807328,1.583333333,0
 09/03  24:00:00,0,27.48333333,25.37581484,0.019749964,1.383333333,0
 09/04  01:00:00,0,27.225,25.27010777,0.019672952,1.241666667,0
 09/04  02:00:00,0,26.98333333,25.17794747,0.019621019,1.083333333,0
 09/04  03:00:00,0,26.725,24.90630496,0.019278514,1.175,0
 09/04  04:00:00,0,26.48333333,24.53547983,0.018771045,1.533333333,0
 09/04  05:00:00,0,26.225,24.14953481,0.018256209,1.875,0
 09/04  06:00:00,0,26.21666667,24.16464003,0.018283809,1.825,0
 09/04  07:00:00,0,26.475,24.55090695,0.018788267,1.466666667,0
 09/04  08:00:00,444.1893339,26.71666667,24.9218352,0.019287131,1.125,365.3697233
 09/04  09:00:00,575.9370461,27.325,25.15226723,0.01941166,1.175,469.6038233
 09/04  10:00:00,577.1064803,28.28333333,25.33107021,0.019303884,1.533333333,386.5311542
 09/04  11:00:00,579.5248111,29.225,25.4423763,0.019091013,1.875,361.8434961
 09/04  12:00:00,584.5141839,29.6,25.45820906,0.018970662,2,354.3319344
 09/04  13:00:00,541.5466342,29.6,25.45777134,0.018978733,2,336.5412422
 09/04  14:00:00,589.1657653,29.6,25.45714823,0.018990049,2,348.3333517
 09/04  15:00:00,594.7588319,29.48333333,25.44293255,0.019024405,2,349.1794508
 09/04  16:00:00,610.5159072,29.28333333,25.41761332,0.019066589,2,353.3570644
 09/04  17:00:00,597.8984219,29.08333333,25.38996775,0.019104891,2,350.8675119
 09/04  18:00:00,496.2747539,28.825,25.30585095,0.019072863,2.175,318.8914369
 09/04  19:00:00,364.7368219,28.525,25.09134222,0.018840856,2.533333333,274.040968
 09/04  20:00:00,354.0684103,28.225,24.90139505,0.018640388,2.875,269.5423705
 09/04  21:00:00,262.2782883,27.98333333,24.82690222,0.018611381,2.883333333,244.7670211
 09/04  22:00:00,0,27.78333333,24.78864691,0.018633283,2.741666667,0
 09/04  23:00:00,0,27.58333333,24.74824547,0.018651762,2.583333333,0
 09/04  24:00:00,0,27.44166667,24.76083416,0.018732698,2.383333333,0
 09/05  01:00:00,0,27.28333333,24.83965886,0.018930072,2.241666667,0
 09/05  02:00:00,0,27.08333333,24.85185432,0.01903529,2.083333333,0
 09/05  03:00:00,0,26.88333333,24.80210098,0.019038202,2,0
 09/05  04:00:00,0,26.68333333,24.66913471,0.01890454,2,0
 09/05  05:00:00,0,26.48333333,24.55848504,0.01880832,2,0
 09/05  06:00:00,0,26.45833333,24.51143199,0.018742148,1.825,0
 09/05  07:00:00,0,26.5,24.41262069,0.018552154,1.466666667,0
 09/05  08:00:00,0,26.55833333,24.3285792,0.018382955,1.125,0
 09/05  09:00:00,0,27.3,24.46728984,0.018292894,1,0
 09/05  10:00:00,0,28.5,24.68166503,0.018133127,1,0
 09/05  11:00:00,0,29.7,25.00691462,0.01816046,1,0
 09/05  12:00:00,0,30.66666667,25.20108116,0.018085421,1.408333333,0
 09/05  13:00:00,0,31.525,25.25217873,0.017815916,2.05,0
 09/05  14:00:00,0,32.36666667,25.24081072,0.017452911,2.708333333,0
 09/05  15:00:00,0,32.35,25.13229599,0.017287577,2.825,0
 09/05  16:00:00,0,31.80833333,25.0404567,0.017375943,2.466666667,0
 09/05  17:00:00,0,31.25,24.815122,0.017248463,2.125,0
