Date/Time,Cooling Load(kWh£©,Site Outdoor Air Drybulb Temperature [C](Hourly),Site Outdoor Air Wetbulb Temperature [C](Hourly),Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Site Wind Speed [m/s](Hourly),Chiller Electricity Energy(kWh£©
 05/04  03:00:00,0,20.875,20.49252346,0.015053557,1,0
 05/04  04:00:00,0,21,20.9999991,0.015706452,1,0
 05/04  05:00:00,0,20.88333333,20.27824616,0.014755237,2.166666667,0
 05/04  06:00:00,0,20.91666667,20.48516619,0.015025956,2.416666667,0
 05/04  07:00:00,0,21.58333333,21.17338781,0.015706021,2,0
 05/04  08:00:00,112.7808238,21.475,20.49678058,0.014798588,1.416666667,189.2439948
 05/04  09:00:00,366.9186069,22.20833333,21.29496669,0.015611844,1,267.9972116
 05/04  10:00:00,415.3104061,23.58333333,22.48025601,0.016740275,1,289.9011636
 05/04  11:00:00,422.2376992,23.475,21.51370436,0.015370274,1.583333333,270.8397023
 05/04  12:00:00,447.2401653,24.79166667,22.5594657,0.016365079,2,279.7784889
 05/04  13:00:00,427.4872781,26.58333333,23.59965946,0.017186798,3.166666667,281.6958672
 05/04  14:00:00,485.5058372,26.53333333,22.42750342,0.015442644,3.416666667,284.6709631
 05/04  15:00:00,498.9462044,26.66666667,22.698987,0.015800636,3.583333333,289.9160172
